Address,district,beat,grid,crimedescr,ucr_ncic_code
2245 FLORIN RD,4,4B        ,1354,TRAFFIC-ACCIDENT INJURY,5400
2335 BOXWOOD ST,2,2C        ,603,ASSAULT WITH WEAPON - I RPT,7000
1441 RICHARDS BLVD,3,3A        ,703,THREATS - I RPT,7000
2633 RIVERSIDE BLVD,4,4A        ,905,NON INJ HR/MAIL OUT REPORT,7000
6051 MACK RD,5,5C        ,1606,484 PC   PETTY THEFT/INSIDE,2308
28TH ST / D ST,3,3B        ,718,TRAFFIC-ACCIDENT INJURY,5400
FRANKLIN BLVD / 12TH AVE,4,4B        ,937,20002(A) HIT/RUN,5401
9TH AVE / RIVERSIDE BLVD,4,4A        ,934,459 PC  BURGLARY VEHICLE,2299
5151 F ST,3,3C        ,814,5150 WI DANGER SELF/OTHERS,7000
2508 28TH AVE,4,4B        ,977,243(E)1 BATTERY NONCOHAB SPOUS,1315
4951 PRISCILLA LN,6,6C        ,1143,CASUALTY REPORT,7000
RICHARDS BLVD / BERCUT DR,3,3A        ,701,10851(A)VC TAKE VEH W/O OWNER,2404
4316 8TH AVE,6,6A        ,1034,11351.5 HS POSS SALE RCK COCAI,3532
7901 DEER LAKE DR,5,5B        ,1616,TOWED/STORED VEHICLE,7000
1118 7TH ST,3,3M        ,742,4140 BP  POSS OF HYPO NEEDLE,3599
2958 S MEADOWS PL,5,5A        ,1365,MISSING PERSON,7000
545 K ST,3,3M        ,742,459 PC  BURGLARY VEHICLE,2299
1510 ARDEN WAY,2,2C        ,626,10851(A)VC TAKE VEH W/O OWNER,2404
160 ALLAIRE CIR,1,1A        ,102,POSSIBLE FINANCIAL CRIME-I RPT,7000
1695 ARDEN WAY,2,2C        ,616,484 PETTY THEFT-SHOPLIFT,2303
1940 65TH ST,3,3C        ,856,TRAFFIC-ACCIDENT-NON INJURY,5400
HOLLYHURST WAY / VALLEY HI DR,5,5B        ,1622,TRAFFIC-ACCIDENT-NON INJURY,5400
SOUTH AVE / NATOMA WAY,2,2B        ,527,11357(B)HS POSS -28.5GR MARIJ,3562
2200 ROYALE RD,2,2C        ,616,594(B)(1)PC  VANDALISM +$400,2999
6544 GOLF VIEW DR,4,4B        ,1333,484 PC   THEFT-LIC PLATE TABS,2399
4127 DEER CROSS WAY,5,5B        ,1616,TOWED/STORED VEHICLE,7000
4119 DEER CROSS WAY,5,5B        ,1616,TOWED/STORED VEHICLE,7000
3825 ROSIN CT,1,1C        ,409,10851 VC AUTO THEFT LOCATE,2404
2001 POINT WEST WAY,2,2C        ,626,487(A) GRAND THEFT-INSIDE,2308
6366 MACK RD,5,5C        ,1623,211 PC ROBBERY-PURSE SNATCH,1210
1100 J ST,3,3M        ,744,10851(A)VC TAKE VEH W/O OWNER,2404
ARCADE BLVD / PONDEROSA LN,2,2B        ,541,TRAFFIC-ACCIDENT-NON INJURY,5400
34TH ST / 12TH AVE,6,6A        ,1041,211 PC  ROBBERY UNSPECIFIED,1299
22ND AVE / 23RD ST,4,4B        ,957,TOWED/STORED VEHICLE,7000
FOLSOM BLVD / 65TH ST,3,3C        ,847,TOWED/STORED VEH-14602.6,7000
5351 47TH AVE,6,6B        ,1421,459 PC  BURGLARY RESIDENCE,2204
2314 CASTRO WAY,4,4A        ,917,459 PC  BURGLARY RESIDENCE,2204
4825 DARLINGTON LN,1,1A        ,130,484 PETTY THEFT/LICENSE PLATE,2399
POWER INN RD / 14TH AVE,6,6C        ,1124,4462.5 VC FALSE TAB/AVOID REG,5499
8101 COSUMNES RIVER BLVD,5,5C        ,1639,23152(B) VC DUI BA .08 OR MORE,5404
RIVERSIDE BLVD / FLORIN RD,4,4C        ,1251,594(B)(1)PC  VANDALISM +$400,2999
BEAUMONT ST / RIO LINDA BLVD,2,2B        ,563,TRAFFIC-ACCIDENT INJURY,5400
2948 LAND PARK DR,4,4A        ,924,23152(A) VC DUI-ALCOHOL/DRUGS,5404
COSUMNES RIVER BLVD / FRANKLIN BLVD,5,5B        ,1634,20001(A) VC HIT/RUN INJ/DEATH,5401
WESTERN AVE / DANVILLE WAY,2,2B        ,531,417(A)2) PC BRANDISH FIREARM,5212
5924 LAGUNA RANCH CIR,5,5C        ,1651,MISSING PERSON,7000
65TH STREET EXPY / FRUITRIDGE RD,6,6B        ,1141,TRAFFIC-ACCIDENT-NON INJURY,5400
5330 STOCKTON BLVD,6,6B        ,1084,484 PETTY THEFT-SHOPLIFT,2303
1936 WHITMAN WAY,5,5A        ,1371,594(B)(1)PC  VANDALISM +$400,2999
3220 LA SOLIDAD WAY,6,6A        ,1032,459 PC  BURGLARY RESIDENCE,2204
2247 68TH AVE,5,5A        ,1364,484G(B) PC ACCESS CARD FRAUD,2605
1919 19TH ST,3,3B        ,776,594(B)(2)(A)VANDALISM GRAF-400,2999
3026 FLORIN RD,5,5A        ,1365,10851(A)VC TAKE VEH W/O OWNER,2404
1912 I ST,3,3B        ,736,459 PC  BURGLARY VEHICLE,2299
5420 STOCKTON BLVD,6,6B        ,1084,11357(B)HS POSS -28.5GR MARIJ,3562
3271 AZEVEDO DR,1,1B        ,410,FALSE PERSONATION - I RPT,7000
957 SHELLWOOD WAY,4,4C        ,1286,MISSING PERSON,7000
6228 VENTURA ST,4,4B        ,1326,10851 VC AUTO THEFT LOCATE,2404
STOCKTON BLVD / 34TH ST,3,3C        ,851,TOWED/STORED VEHICLE,7000
26TH ST / 2ND AVE,4,4A        ,908,10851 VC AUTO THEFT LOCATE,2404
8104 TORRENTE WAY,5,5B        ,1618,MISSING PERSON LOCATE O/S ASSI,7000
1 CLAUSS CT,6,6B        ,1084,10851(A)VC TAKE VEH W/O OWNER,2404
4049 FAWN CIR,5,5B        ,1616,MISSING PERSON,7000
2691 RIVERSIDE BLVD,4,4A        ,905,459 PC  BURGLARY VEHICLE,2299
5630 FRANKLIN BLVD,4,4B        ,988,594(B)(1)PC  VANDALISM +$400,2999
8090 FOLSOM BLVD,3,3C        ,1101,484 PETTY THEFT-SHOPLIFT,2303
211 30TH ST,3,3C        ,801,484 PC  PETTY THEFT/ OUTSIDE,2309
1657 NEIHART AVE,5,5A        ,1501,CASUALTY REPORT,7000
3339 TAYLOR ST,2,2B        ,532,459 PC  BURGLARY RESIDENCE,2204
STOCKTON BLVD / 34TH ST,3,3C        ,851,647(F) PC DIP - DISORDERLY,5311
6007 WINDBREAKER WAY,5,5C        ,1653,5150 WI DANGER SELF/OTHERS,7000
6643 VALLEY HI DR,5,5C        ,1623,243(E)1 BATTERY NONCOHAB SPOUS,1315
2408 P ST,3,3B        ,767,23152(A) VC DUI-ALCOHOL/DRUGS,5404
2621 P ST,3,3B        ,768,10851(A)VC TAKE VEH W/O OWNER,2404
2509 P ST,3,3B        ,768,10851(A)VC TAKE VEH W/O OWNER,2404
OAKMONT ST / SANTIAGO AVE,2,2B        ,563,TOWED/STORED VEH-14602.6,7000
RIO LINDA BLVD / ELEANOR AVE,2,2B        ,553,11364 HS POSS DRUG PARAPH,3599
119 NEDRA CT,5,5A        ,1394,10851 VC AUTO THEFT LOCATE,2404
WILKINSON ST / FRUITRIDGE RD,6,6C        ,1153,484G(B) PC ACCESS CARD FRAUD,2605
SAN JUAN RD / TRUXEL RD,1,1B        ,404,NON INJ HR/MAIL OUT REPORT,7000
8940 POCKET RD,4,4C        ,1209,10851(A)VC TAKE VEH W/O OWNER,2404
SHINING STAR DR / PHOENIX PARK DR,5,5B        ,1602,22435.2(A) BP POSS SHOP CART,2399
2625 KIT CARSON ST,4,4A        ,903,273.6(A) PC VIO DV COURT ORDER,5007
788 PARKHAVEN WAY,4,4C        ,1263,10851(A)VC TAKE VEH W/O OWNER,2404
23 GRACKLE CT,1,1A        ,344,10851(A)VC TAKE VEH W/O OWNER,2404
6354 HERMOSA ST,4,4B        ,1326,459 PC  BURGLARY RESIDENCE,2204
715 L ST,3,3M        ,742,NON INJ HR/MAIL OUT REPORT,7000
518 14TH ST,3,3A        ,725,BATTERY - I RPT,7000
1830 ARDEN WAY,2,2C        ,628,459 PC  BURGLARY VEHICLE,2299
1415 30TH ST,3,3C        ,851,10851(A)VC TAKE VEH W/O OWNER,2404
1341 LONGSHORE CT,2,2A        ,235,11377(A)HS POSS AMPHETAMINES,3572
20TH AVE / 36TH ST,6,6A        ,1061,215(A) PC    CARJACKING,1212
FRANKLIN BLVD / SHINING STAR DR,5,5B        ,1602,11378 HS POSS/SALE AMPHETAMINE,3571
940 ELEANOR AVE,2,2B        ,563,496(A) RECEIVE STOLEN PROPERTY,2803
547 L ST,3,3M        ,742,JUVENILE DISURBANCE - I RPT,7000
FRUITRIDGE RD / 71ST ST,6,6C        ,1403,4462.5 VC FALSE TAB/AVOID REG,5499
5930 24TH ST,4,4B        ,1304,10851(A)VC TAKE VEH W/O OWNER,2404
7767 LA RIVIERA DR,3,3C        ,888,RPT # CANCELLED- I RPT,7000
285 SEAVEY CIR,4,4A        ,912,CHILD CUSTODY - I RPT,7000
5150 STOCKTON BLVD,6,6B        ,1084,NARCOTICS SUSP/EVID/ACT- I RPT,7000
8181 FOLSOM BLVD,3,3C        ,1117,484G(B) PC ACCESS CARD FRAUD,2605
OAKMONT ST / LAS PALMAS AVE,2,2B        ,543,10851 VC AUTO THEFT LOCATE,2404
1818 H ST,3,3B        ,736,484 PETTY THEFT/LICENSE PLATE,2399
7612 DETROIT BLVD,5,5A        ,1506,TOWED/STORED VEH-14602.6,7000
4905 58TH ST,6,6B        ,1087,10851(A)VC TAKE VEH W/O OWNER,2404
1901 J ST,3,3B        ,736,211 PC ROBBERY- BUSINESS,1299
3421 JOLA CIR,5,5A        ,1506,11377(A)HS POSS AMPHETAMINES,3572
8291 CARLIN AVE,5,5C        ,1642,594(B)(1)PC  VANDALISM +$400,2999
5961 13TH AVE,6,6B        ,1056,459 PC  BURGLARY VEHICLE,2299
5700 MACK RD,5,5C        ,1623,459 PC  BURGLARY RESIDENCE,2204
3200 TRUXEL RD,1,1C        ,414,459 PC  BURGLARY VEHICLE,2299
STOCKTON BLVD / 16TH AVE,6,          ,1064,TOWED/STORED VEH-14602.6,7000
FRANKLIN BLVD / 20TH AVE,4,4B        ,958,CASUALTY REPORT,7000
POWER INN RD / ELDER CREEK RD,6,6C        ,1406,20002(A) HIT/RUN,5401
2318 Q ST,3,3B        ,767,484 PETTY THEFT/LICENSE PLATE,2399
3651 NORWOOD AVE,2,2B        ,521,594(B)(2)(A) VANDALISM/ -$400,2999
1800 U ST,3,3A        ,785,594(B)(2)(A) VANDALISM/ -$400,2999
6525 VALLEY HI DR,5,5C        ,1623,10852 VC VEHICLE TAMPERING,2999
2217 W ST,3,3B        ,787,594(B)(2)(A) VANDALISM/ -$400,2999
227 JIBBOOM ST,3,3A        ,721,10851(A)VC TAKE VEH W/O OWNER,2404
5330 ONTARIO ST,6,6C        ,1153,CHILD WELFARE - I RPT,7000
2560 BOXWOOD ST,2,2B        ,564,211 PC  ROBBERY UNSPECIFIED,1299
2217 CITRINE WAY,1,1A        ,348,10851(A)VC TAKE VEH W/O OWNER,2404
2710 O ST,3,3B        ,768,484 PETTY THEFT CLOUT UNLOCKED,2305
1755 CREEKSIDE OAKS DR,1,1B        ,443,484 PETTY THEFT/LICENSE PLATE,2399
3066 FREEPORT BLVD,4,4A        ,925,GRAFFITI PROBLEMS- I RPT,7000
1389 7TH AVE,4,4A        ,934,487(A) GRAND THEFT-INSIDE,2308
3053 NOTRE DAME DR,3,3C        ,1115,484 PC   PETTY THEFT/INSIDE,2308
1821 VALLEJO WAY,4,4A        ,926,484 PC  PETTY THEFT/ OUTSIDE,2309
2828 AQUINO DR,1,1B        ,422,10851(A)VC TAKE VEH W/O OWNER,2404
EL CAMINO AVE / BOXWOOD ST,2,2C        ,564,529 PC FALSE PERSONATION,2604
1826 1/2 O ST,3,3B        ,766,NEIGHBORHOOD DISTURBANCE-I RPT,7000
2940 42ND ST,6,6A        ,1015,TRAFFIC-ACCIDENT-NON INJURY,5400
5130 MONETTA LN,1,1A        ,130,459 PC  BURGLARY VEHICLE,2299
3659 FAR NIENTE WAY,1,1A        ,333,10851(A)VC TAKE VEH W/O OWNER,2404
24TH ST / FRUITRIDGE RD,4,4B        ,977,TOWED/STORED VEH-14602.6,7000
1509 EXPOSITION BLVD,2,2C        ,626,459 PC  BURGLARY VEHICLE,2299
12TH ST / J ST,3,3M        ,735,TOWED/STORED VEH-14602.6,7000
4451 GATEWAY PARK BLVD,1,1A        ,306,211 PC ROBBERY-PURSE SNATCH,1210
65 LA FRESA CT,5,5B        ,1602,TOWED/STORED VEH-14602.6,7000
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000
5341 MICHAEL WAY,4,4A        ,965,10851(A)VC TAKE VEH W/O OWNER,2404
2400 DEL PASO BLVD,2,2B        ,564,11364 HS POSS DRUG PARAPH,3599
555 DISPLAY WAY,2,2A        ,511,459 PC  BURGLARY BUSINESS,2203
3671 FRANKLIN BLVD,4,4A        ,937,11364 HS POSS DRUG PARAPH,3599
11 SUBURBAN CT,6,6B        ,1088,459 PC  BURGLARY VEHICLE,2299
4895 STOCKTON BLVD,6,6B        ,1064,487(A) PC GRAND THEFT,2303
3501 NORTHGATE BLVD,1,1C        ,406,11377(A)HS POSS AMPHETAMINES,3572
330 HAWKCREST CIR,1,1A        ,130,459 PC  BURGLARY VEHICLE,2299
2600 SAN FERNANDO WAY,4,4A        ,908,PETTY THEFT - I RPT,7000
717 34TH ST,3,3C        ,822,TOWED/STORED VEHICLE,7000
2342 WORSHAM AVE,4,4B        ,1344,459 PC  BURGLARY VEHICLE,2299
BOXWOOD ST / EL CAMINO AVE,2,2C        ,564,TOWED/STORED VEHICLE,7000
2017 17TH ST,3,3A        ,785,10851(A)VC TAKE VEH W/O OWNER,2404
MEADOWVIEW RD / DETROIT BLVD,5,5A        ,1398,TRAFFIC-ACCIDENT INJURY,5400
7684 19TH ST,5,5A        ,1502,459 PC  BURGLARY RESIDENCE,2204
7257 MILFORD ST,5,5A        ,1361,10851(A)VC TAKE VEH W/O OWNER,2404
2427 PRINCETON ST,2,2C        ,605,459 PC  BURGLARY RESIDENCE,2204
2704 D ST,3,3B        ,718,TOWED/STORED VEHICLE,7000
2851 UTAH AVE,5,5A        ,1386,594(B)(2)(A) VANDALISM/ -$400,2999
3218 MARSHSONG AVE,1,1A        ,303,MISSING PERSON,7000
2825 50TH ST,6,6B        ,1019,484 PC   PETTY THEFT/INSIDE,2308
1828 WOOLLEY WAY,2,2C        ,606,TOWED/STORED VEHICLE,7000
2037 ETHAN WAY,2,2C        ,617,TOWED/STORED VEHICLE,7000
I ST / 17TH ST,3,3M        ,736,484 PETTY THEFT/LICENSE PLATE,2399
6797 FRATES WAY,4,4C        ,1261,459 PC  BURGLARY RESIDENCE,2204
3430 NORTHGATE BLVD,1,1C        ,419,484G(B) PC ACCESS CARD FRAUD,2605
2653 2ND AVE,4,4A        ,908,484G(B) PC ACCESS CARD FRAUD,2605
3200 TRUXEL RD,1,1C        ,414,530.5 PC USE PERSONAL ID INFO,2604
MACK RD / VALLEY HI DR,5,5C        ,1606,TOWED/STORED VEH-14602.6,7000
4601 H ST,3,3C        ,824,459 PC  BURGLARY VEHICLE,2299
8206 LA ALMENDRA WAY,5,5C        ,1634,TOWED/STORED VEHICLE,7000
CATSKILL WAY / VERANO ST,2,2B        ,537,TOWED/STORED VEHICLE,7000
SAN JUAN RD / GUILLEMOT DR,1,1B        ,344,TOWED/STORED VEHICLE,7000
2604 53RD AVE,4,4B        ,1346,TOWED/STORED VEHICLE,7000
2810 GATEWAY OAKS DR,1,1B        ,421,11364 HS POSS DRUG PARAPH,3599
740 HARRIS AVE,2,2A        ,502,10851 VC AUTO THEFT LOCATE,2404
4206 VALLEY HI DR,5,5B        ,1618,TOWED/STORED VEHICLE,7000
2801 L ST,3,3B        ,748,MISSING PERSON I RPT,7000
6220 WEATHERFORD WAY,5,5C        ,1635,459 PC  BURGLARY RESIDENCE,2204
3066 FREEPORT BLVD,4,4A        ,925,GRAFFITI PROBLEMS- I RPT,7000
40 TWIN LEAF CT,2,2A        ,212,530.5 PC USE PERSONAL ID INFO,2604
40 TWIN LEAF CT,2,2A        ,212,530.5 PC USE PERSONAL ID INFO,2604
FREEPORT BLVD / BIDWELL WAY,4,4A        ,936,11357(B)HS POSS -28.5GR MARIJ,3562
6400 JACINTO AVE,5,5C        ,1661,10851 VC AUTO THEFT LOCATE,2404
3301 FONG RANCH RD,1,1B        ,404,TOWED/STORED VEH-14602.6,7000
2215 K ST,3,3B        ,747,647(F) PC DIP - DISORDERLY,5311
DAYTON ST / DEL PASO BLVD,2,2B        ,527,TOWED/STORED VEHICLE,7000
1250 WHITNEY AVE,3,3A        ,764,587C PC EVADE PAYMENT RAILFARE,2699
1936 FRIENZA AVE,2,2C        ,568,10851 VC AUTO THEFT LOCATE,2404
6400 JACINTO AVE,5,5C        ,1661,TOWED/STORED VEHICLE,7000
BAKER AVE / STOCKTON BLVD,6,          ,1064,647(B) PC   PROSTITUTION,4004
4940 VIRGINIA WAY,4,4B        ,966,211 PC ROBBERY-PURSE SNATCH,1210
7901 LA RIVIERA DR,3,3C        ,888,TOWED/STORED VEHICLE,7000
2ND AVE / 35TH ST,6,6A        ,1013,TRAFFIC-ACCIDENT-NON INJURY,5400
2633 RIVERSIDE BLVD,4,4A        ,905,503 PC   EMBEZZLEMENT,2799
7201 GLORIA DR,4,4C        ,1267,SUSP PERS-NO CRIME - I RPT,7000
4400 TRUXEL RD,1,1A        ,307,459 PC  BURGLARY VEHICLE,2299
7901 LA RIVIERA DR,3,3C        ,888,TOWED/STORED VEHICLE,7000
8200 ELDER CREEK RD,6,6C        ,1447,TRAFFIC-ACCIDENT-NON INJURY,5400
7703 CENTER PKWY,5,5C        ,1605,459 PC  BURGLARY RESIDENCE,2204
2035 W EL CAMINO AVE,1,1B        ,422,166(A)(4) WILFUL DISOBEY CT OR,5005
6231 FRUITRIDGE RD,6,6B        ,1088,484 PETTY THEFT-SHOPLIFT,2303
200 OPPORTUNITY ST,2,2A        ,510,10851(A)VC TAKE VEH W/O OWNER,2404
MEADOWVIEW RD / MANORSIDE DR,5,5A        ,1393,TRAFFIC-ACCIDENT INJURY,5400
FRUITRIDGE RD / STOCKTON BLVD,6,6B        ,1086,647(B) PC   PROSTITUTION,4004
E ST / 30TH ST,3,3C        ,811,20002(A) HIT/RUN,5401
HARRIS AVE / PERFORMANCE DR,2,2A        ,510,10851(A)VC TAKE VEH W/O OWNER,2404
3066 FREEPORT BLVD,4,4A        ,925,308(B) PC MINOR POSS TOBACCO,5599
N BEND DR / ARROWBROOK AVE,1,1A        ,136,10851 VC AUTO THEFT LOCATE,2404
STOCKTON BLVD / DIAS AVE,6,6B        ,1421,647(B) PC   PROSTITUTION,4004
8090 FOLSOM BLVD,3,3C        ,1101,211 PC  ROBBERY UNSPECIFIED,1299
6719 MIDDLECOFF WAY,4,4B        ,1344,459 PC  BURGLARY RESIDENCE,2204
7387 PATERO CIR,5,5B        ,1369,PERSON INFORMATION - I RPT,7000
MARYSVILLE BLVD / ACACIA AVE,2,2B        ,546,LOST PROPERTY - I RPT,7000
194 CREEKSIDE CIR,5,5B        ,1614,MISSING PERSON,7000
1600 VALLEJO WAY,4,4A        ,925,GANG ACTIVITY - I RPT,7000
1166 34TH AVE,4,4C        ,1225,484G(B) PC ACCESS CARD FRAUD,2605
2730 STONECREEK DR,1,1B        ,435,1708 US   THEFT OF MAIL,2310
547 L ST,3,3M        ,742,459 PC  BURGLARY VEHICLE,2299
STOCKTON BLVD / LAWRENCE DR,6,6B        ,1086,TRAFFIC-ACCIDENT-NON INJURY,5400
660 J ST,3,3M        ,742,459 PC  BURGLARY BUSINESS,2203
2250 68TH AVE,5,5A        ,1384,243.2(A)(1) BATT/SCHOOL INJURY,1315
8TH ST / K ST,3,3M        ,742,3056 PAROLE VIO - I RPT,7000
18TH ST / W ST,3,3A        ,785,TRAFFIC-ACCIDENT-NON INJURY,5400
3RD ST / J ST,3,3M        ,732,MISCELLANEOUS I RPT (ZMISC),7000
TEMPLE AVE / 16TH AVE,6,6A        ,1051,11377(A)HS POSS AMPHETAMINES,3572
NATOMAS BLVD / CLUB CENTER DR,1,1A        ,106,TRAFFIC-ACCIDENT-NON INJURY,5400
5900 RIZA AVE,6,6C        ,1441,273.6(A) PC VIO DV COURT ORDER,5007
STOCKTON BLVD / 2ND AVE,6,6A        ,1005,TOWED/STORED VEH-14602.6,7000
2701 RINGGOLD ST,4,4A        ,903,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
5633 MACK RD,5,5C        ,1606,10851(A)VC TAKE VEH W/O OWNER,2404
6870 GREENHAVEN DR,4,4C        ,1274,BATTERY - I RPT,7000
1730 I ST,3,3M        ,736,484 PC   PETTY THEFT/INSIDE,2308
2250 68TH AVE,5,5A        ,1384,243.2(A)(1) BATT/SCHOOL INJURY,1315
AZEVEDO DR / BANNON CREEK DR,1,1B        ,434,TOWED/STORED VEH-14602.6,7000
4701 JOAQUIN WAY,4,4B        ,967,594(B)(1)PC  VANDALISM +$400,2999
3661 TRUXEL RD,1,1A        ,337,BUSINESS PERMITS - I RPT,7000
3500 FLORIN RD,5,5B        ,1367,451(D) PC  ARSON OF PROPERTY,2099
MCCLATCHY WAY / DUDLEY WAY,4,4A        ,903,NARCOTICS SUSP/EVID/ACT- I RPT,7000
8263 SUNNY CREEK WAY,5,5C        ,1637,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
2146 SOUTH AVE,2,2B        ,527,273.6(A) PC VIO DV COURT ORDER,5007
6879 14TH AVE,6,6C        ,1121,GANG ACTIVITY - I RPT,7000
1021 ACACIA AVE,2,2B        ,544,MISSING PERSON,7000
2549 69TH AVE,5,5A        ,1386,594(B)(2)(A) VANDALISM/ -$400,2999
3150 I ST,3,3C        ,831,484 PC   PETTY THEFT/INSIDE,2308
1301 ETHAN WAY,2,2C        ,637,ACCIDENTAL FIRES/ARSON -I RPT,7000
FREEPORT BLVD / SUTTERVILLE RD,4,4A        ,957,NON INJ HR/MAIL OUT REPORT,7000
FLORIN PERKINS RD / KIEFER BLVD,3,3C        ,1126,TRAFFIC-ACCIDENT-NON INJURY,5400
1008 24TH ST,3,3B        ,747,487(A) PC GRAND THEFT,2303
430 HARDING AVE,1,1C        ,449,459 PC  BURGLARY RESIDENCE,2204
SUTTERVILLE RD / FRANKLIN BLVD,4,4B        ,937,11350(A)HS POSS CNTRL SUBST,3532
545 K ST,3,3M        ,742,11350(B)HS POSSESS QUAALUDES,3582
FRUITRIDGE RD / MARTIN LUTHER KING JR BL,6,          ,1081,TOWED/STORED VEH-14602.6,7000
SAINTSBURY DR / DUCKHORN DR,1,1A        ,334,TOWED/STORED VEH-14602.6,7000
813 SAN JUAN RD,1,1C        ,405,273.6(A) PC VIO DV COURT ORDER,5007
8TH ST / K ST,3,3M        ,742,243(E)1 BATTERY NONCOHAB SPOUS,1315
ROSEVILLE RD / MARCONI CIR,2,2C        ,557,653K PC POSS/SELL SWITCHBLADE,5212
8140 EDDINGTON WAY,5,5C        ,1634,FOUND PROPERTY - I RPT,7000
15TH AVE / 60TH ST,6,6B        ,1067,10851 VC AUTO THEFT LOCATE,2404
581 PICO WAY,3,3C        ,824,TOWED/STORED VEHICLE,7000
150 CREEKS EDGE WAY,5,5B        ,1602,THREATS - I RPT,7000
3301 FONG RANCH RD,1,1B        ,404,243.2(A)(1) BATT/SCHOOL INJURY,1315
SAN JUAN RD / TRUXEL RD,1,1B        ,404,308(B) PC MINOR POSS TOBACCO,5599
3050 DEL PASO BLVD,2,2B        ,546,459 PC  BURGLARY RESIDENCE,2204
2623 41ST ST,6,6A        ,1015,459 PC  BURGLARY RESIDENCE,2204
833 CALVADOS AVE,2,2C        ,603,10851 VC AUTO THEFT LOCATE,2404
1021 FRONT ST,3,3M        ,741,484 PETTY THEFT-SHOPLIFT,2303
6300 EHRHARDT AVE,5,5C        ,1646,JUVENILE PROBLEMS - I RPT,7000
VALLEJO WAY / MUIR WAY,4,4A        ,913,211 PC  ROBBERY UNSPECIFIED,1299
1135 RICHARDS BLVD,3,3A        ,703,487(A) GRAND THEFT-INSIDE,2308
65TH STREET EXPY / ELDER CREEK RD,6,6C        ,1422,TRAFFIC-ACCIDENT-NON INJURY,5400
7574 SKELTON WAY,5,5A        ,1393,TOWED/STORED VEHICLE,7000
3814 SAINTSBURY DR,1,1A        ,333,TOWED/STORED VEH-14602.6,7000
1103 N B ST,3,3A        ,705,11364 HS POSS DRUG PARAPH,3599
5770 FREEPORT BLVD,4,4C        ,985,1551(A) FUGITIVE FROM JUSTICE,4902
8395 FOLSOM BLVD,3,3C        ,1115,241(B) ASSAULT ON POLICE OFFIC,1313
1944 EL CAMINO AVE,2,2C        ,606,10851(A)VC TAKE VEH W/O OWNER,2404
3150 I ST,3,3C        ,831,484 PC PETTY THEFT,2399
CENTER PKWY / EHRHARDT AVE,5,5C        ,1645,NON INJ HR/MAIL OUT REPORT,7000
3710 FRANKLIN BLVD,4,4B        ,958,484 PETTY THEFT-SHOPLIFT,2303
NOGALES ST / ALVARADO BLVD,2,2B        ,525,10851 VC AUTO THEFT LOCATE,2404
FRANKLIN BLVD / 26TH AVE,4,4B        ,969,11364 HS POSS DRUG PARAPH,3599
500 BERCUT DR,3,3A        ,701,211 PC  ROBBERY UNSPECIFIED,1299
7564 SKELTON WAY,5,5A        ,1393,TOWED/STORED VEHICLE,7000
13TH ST / D ST,3,3A        ,715,11350(A)HS POSS CNTRL SUBST,3532
C ST / 16TH ST,3,3A        ,716,12021(A)(1)PC FELON POSS FRARM,5212
4850 FREEPORT BLVD,4,4A        ,965,466 PC   POSS OF BURG TOOLS,2206
113 K ST,3,3M        ,741,484 PETTY THEFT-SHOPLIFT,2303
BOXWOOD ST / DIXIEANNE AVE,2,2C        ,604,148.9 PC FALSE ID TO OFFICER,4803
43RD AVE / GLORIA DR,4,4C        ,1225,NON INJ HR/MAIL OUT REPORT,7000
6715 GLORIA DR,4,4C        ,1272,MISSING PERSON,7000
1695 ARDEN WAY,2,2C        ,616,484 PC PETTY THEFT,2399
US 50 WB / 10TH ST,3,3A        ,784,NON INJ HR/MAIL OUT REPORT,7000
5770 FREEPORT BLVD,4,4C        ,985,1551(A) FUGITIVE FROM JUSTICE,4902
MARTIN LUTHER KING JR BLVD / 9TH AVE,6,6A        ,1042,243(D) PC BATT/CIVILIAN W/INJ,1315
1600 VALLEJO WAY,4,4A        ,925,626.10(A) PC POSS WPN SCHL ZN,5212
3825 ROSIN CT,1,1C        ,409,459 PC  BURGLARY BUSINESS,2203
6132 RIVERSIDE BLVD,4,4C        ,1251,10851(A)VC TAKE VEH W/O OWNER,2404
1216 NOGALES ST,2,2B        ,525,487(A) GRAND THEFT-INSIDE,2308
5770 FREEPORT BLVD,4,4C        ,985,1551(A) FUGITIVE FROM JUSTICE,4902
5411 GILGUNN WAY,4,4A        ,964,594(B)(1)PC  VANDALISM +$400,2999
271 MOREY AVE,2,2A        ,501,TOWED/STORED VEHICLE,7000
15TH ST / W ST,3,3A        ,785,14601.1(A) VC LIC SUSP OTHER,5499
GREAT SMOKEY ST / KENELWORTH WAY,5,5B        ,1622,TOWED/STORED VEHICLE,7000
STONECREEK DR / W EL CAMINO AVE,1,1B        ,435,TOWED/STORED VEHICLE,7000
5330 PRISCILLA LN,6,6C        ,1153,CASUALTY REPORT,7000
701 PLAZA AVE,2,2B        ,563,484 PC   PETTY THEFT/INSIDE,2308
GREAT SMOKEY ST / KENELWORTH WAY,5,5B        ,1622,TOWED/STORED VEHICLE,7000
DEL PASO BLVD / FORREST ST,2,2C        ,602,647(B) PC   PROSTITUTION,4004
